timestamp,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-11 16:00:00,464954.499999999871,4649544999999.99871,37368393.16499998963227
2024-08-12 16:00:00,437614.199999999818,4376141999999.99818,36129428.35199998497408
2024-08-13 16:00:00,464748.499999999904,4647484999999.99904,37398311.79499999227488
2024-08-14 16:00:00,483876.899999999856,4838768999999.99856,39155318.74799998834752
2024-08-15 16:00:00,500838.399999999801,5008383999999.99801,40187273.21599998403224
2024-08-16 16:00:00,569393.89999999989,5693938999999.9989,39931594.2069999922857
2024-08-17 16:00:00,527643.29999999982,5276432999999.9982,38602383.8279999868312
2024-08-18 16:00:00,576336.19999999985,5763361999999.9985,43421169.307999988699
2024-08-19 16:00:00,527867.89999999989,5278678999999.9989,38882749.5139999918974
2024-08-20 16:00:00,572749.399999999964,5727493999999.99964,44393805.99399999720964
2024-08-21 16:00:00,531519.999999999824,5315199999999.99824,40725062.39999998651488
2024-08-22 16:00:00,556362.19999999992,5563621999999.9992,43885850.3359999936896
2024-08-23 16:00:00,538575.499999999921,5385754999999.99921,44287063.36499999350383
2024-08-24 16:00:00,627878.70000000019,6278787000000.0019,57752282.8260000174762
2024-08-25 16:00:00,620439.49999999976,6204394999999.9976,56435176.9199999781696
2024-08-26 16:00:00,580256.299999999822,5802562999999.99822,51155395.40799998430752
2024-08-27 16:00:00,565852.099999999744,5658520999999.99744,47061919.15699997870848
2024-08-28 16:00:00,519890.599999999525,5198905999999.99525,40192742.28599996327775
2024-08-29 16:00:00,485712.19999999992,4857121999999.9992,39235831.5159999935376
2024-08-30 16:00:00,479421.299999999794,4794212999999.99794,35539500.96899998472922
2024-08-31 16:00:00,480875.699999999836,4808756999999.99836,37037046.41399998736872
2024-09-01 16:00:00,478044.3999999998,4780443999999.998,35896353.995999984982
2024-09-02 16:00:00,480461.999999999854,4804619999999.99854,36149960.87999998901496
2024-09-03 16:00:00,507780.699999999944,5077806999999.99944,37017213.0299999959176
2024-09-04 16:00:00,504049.899999999682,5040498999999.99682,37360178.58799997642984
2024-09-05 16:00:00,528139.299999999805,5281392999999.99805,37767241.34299998605555
2024-09-06 16:00:00,524973.99999999988,5249739999999.9988,36753429.7399999915988
2024-09-07 16:00:00,558225.29999999986,5582252999999.9986,38913885.6629999902406
2024-09-08 16:00:00,594067.39999999972,5940673999999.9972,40473811.9619999809236
2024-09-09 16:00:00,516158.69999999983,5161586999999.9983,36471773.7419999879878
2024-09-10 16:00:00,532456.79999999963,5324567999999.9963,39220767.8879999727458
2024-09-11 16:00:00,542405.899999999765,5424058999999.99765,38624724.13899998326565
2024-09-12 16:00:00,523818.599999999799,5238185999999.99799,38008277.61599998541544
2024-09-13 16:00:00,574067.69999999989,5740676999999.9989,43916179.049999991585
2024-09-14 16:00:00,558293.099999999825,5582930999999.99825,43301212.835999986427
2024-09-15 16:00:00,537369.7999999999,5373697999999.999,41517190.747999992274
2024-09-16 16:00:00,557498.19999999988,5574981999999.9988,40229070.1119999913408
2024-09-17 16:00:00,525851.69999999912,5258516999999.9912,39686027.7989999335864
2024-09-18 16:00:00,513903.199999999964,5139031999999.99964,36219897.53599999746272
2024-09-19 16:00:00,553315.499999999955,5533154999999.99955,43662126.10499999644905
2024-09-20 16:00:00,570058.100000000075,5700581000000.00075,46676357.228000006141
2024-09-21 16:00:00,584852.700000000125,5848527000000.00125,48215256.588000010305
2024-09-22 16:00:00,599940.100000000096,5999401000000.00096,47557251.72700000760992
2024-09-23 16:00:00,552519.000000000095,5525190000000.00095,45102125.97000000775485
2024-09-24 16:00:00,583442.39999999973,5834423999999.9973,48822460.0319999774064
2024-09-25 16:00:00,584444.69999999964,5844446999999.9964,49473243.854999969526
2024-09-26 16:00:00,671921.70000000018,6719217000000.0018,62011653.6930000166122
2024-09-27 16:00:00,778173.50000000034,7781735000000.0034,83451326.1400000364616
2024-09-28 16:00:00,869133.60000000038,8691336000000.0038,95682918.0240000418342
2024-09-29 16:00:00,884743.400000000305,8847434000000.00305,98843532.6480000340746
2024-09-30 16:00:00,906712.90000000055,9067129000000.0055,96972944.6550000588225
2024-10-01 16:00:00,882846.10000000047,8828461000000.0047,94517503.4660000503182
2024-10-02 16:00:00,725066.20000000045,7250662000000.0045,70991231.6420000440595
2024-10-03 16:00:00,695648.60000000047,6956486000000.0047,60173603.900000040655
2024-10-04 16:00:00,650282.80000000004,6502828000000.0004,60066622.2360000036948
2024-10-05 16:00:00,831385.20000000023,8313852000000.0023,79014849.4080000218592
2024-10-06 16:00:00,947130.00000000043,9471300000000.0043,94514102.7000000429097
2024-10-07 16:00:00,885020.3000000002,8850203000000.002,92077512.012000020808
2024-10-08 16:00:00,712395.40000000024,7123954000000.0024,67221629.9440000226464
2024-10-09 16:00:00,715895.60000000011,7158956000000.0011,67888379.7480000104313
